idx,d0,d1,d2,maqaf,paseq,break
1.12.5,מזריע,מַזְרִיעַ,מַזְרִ֤יעַ,,False,
1.12.6,זרע,זֶרַע,זֶ֙רַע֙,,False,
1.12.7,למינהו,לְמִינֵהוּ,לְמִינֵ֔הוּ,,False,
1.12.8,ועץ,וְעֵץ,וְעֵ֧ץ,,False,
1.12.9,עשה,עֹשֶׂה,עֹֽשֶׂה,"(1, 2)",False,
1.12.10,פרי,פְּרִי,פְּרִ֛י,"(2, 2)",False,
1.12.11,אשר,אֲשֶׁר,אֲשֶׁ֥ר,,False,
1.12.12,זרעו,זַרְעוֹ,זַרְעוֹ,"(1, 2)",False,
1.12.13,בו,בוֹ,ב֖וֹ,"(2, 2)",False,
1.12.14,למינהו,לְמִינֵהוּ,לְמִינֵ֑הוּ,,False,
1.12.15,וירא,וַיַּרְא,וַיַּ֥רְא,,False,
1.12.16,אלהים,אֱלֹהִים,אֱלֹהִ֖ים,,False,
1.12.17,כי,כִּי,כִּי,"(1, 2)",False,
1.12.18,טוב,טוֹב׃,טֽוֹב׃,"(2, 2)",False,
1.13.1,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.13.2,ערב,עֶרֶב,עֶ֥רֶב,"(2, 2)",False,
1.13.3,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.13.4,בקר,בֹקֶר,בֹ֖קֶר,"(2, 2)",False,
1.13.5,יום,יוֹם,י֥וֹם,,False,
1.13.6,שלישי,שְׁלִישִׁי׃,שְׁלִישִֽׁי׃,,False,(פ)
1.14.1,ויאמר,וַיֹּאמֶר,וַיֹּ֣אמֶר,,False,
1.14.2,אלהים,אֱלֹהִים,אֱלֹהִ֗ים,,False,
1.14.3,יהי,יְהִי,יְהִ֤י,,False,
1.14.4,מארת,מְאֹרֹת,מְאֹרֹת֙,,False,
1.14.5,ברקיע,בִּרְקִיעַ,בִּרְקִ֣יעַ,,False,
1.14.6,השמים,הַשָּׁמַיִם,הַשָּׁמַ֔יִם,,False,
1.14.7,להבדיל,לְהַבְדִּיל,לְהַבְדִּ֕יל,,False,
1.14.8,בין,בֵּין,בֵּ֥ין,,False,
1.14.9,היום,הַיּוֹם,הַיּ֖וֹם,,False,
1.14.10,ובין,וּבֵין,וּבֵ֣ין,,False,
1.14.11,הלילה,הַלָּיְלָה,הַלָּ֑יְלָה,,False,
1.14.12,והיו,וְהָיוּ,וְהָי֤וּ,,False,
1.14.13,לאתת,לְאֹתֹת,לְאֹתֹת֙,,False,
1.14.14,ולמועדים,וּלְמוֹעֲדִים,וּלְמ֣וֹעֲדִ֔ים,,False,
1.14.15,ולימים,וּלְיָמִים,וּלְיָמִ֖ים,,False,
1.14.16,ושנים,וְשָׁנִים׃,וְשָׁנִֽים׃,,False,
1.15.1,והיו,וְהָיוּ,וְהָי֤וּ,,False,
1.15.2,למאורת,לִמְאוֹרֹת,לִמְאוֹרֹת֙,,False,
1.15.3,ברקיע,בִּרְקִיעַ,בִּרְקִ֣יעַ,,False,
1.15.4,השמים,הַשָּׁמַיִם,הַשָּׁמַ֔יִם,,False,
1.15.5,להאיר,לְהָאִיר,לְהָאִ֖יר,,False,
1.15.6,על,עַל,עַל,"(1, 2)",False,
1.15.7,הארץ,הָאָרֶץ,הָאָ֑רֶץ,"(2, 2)",False,
1.15.8,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.15.9,כן,כֵן׃,כֵֽן׃,"(2, 2)",False,
1.16.1,ויעש,וַיַּעַשׂ,וַיַּ֣עַשׂ,,False,
1.16.2,אלהים,אֱלֹהִים,אֱלֹהִ֔ים,,False,
1.16.3,את,אֶת,אֶת,"(1, 2)",False,
1.16.4,שני,שְׁנֵי,שְׁנֵ֥י,"(2, 2)",False,
1.16.5,המארת,הַמְּאֹרֹת,הַמְּאֹרֹ֖ת,,False,
1.16.6,הגדלים,הַגְּדֹלִים,הַגְּדֹלִ֑ים,,False,
1.16.7,את,אֶת,אֶת,"(1, 2)",False,
1.16.8,המאור,הַמָּאוֹר,הַמָּא֤וֹר,"(2, 2)",False,
1.16.9,הגדל,הַגָּדֹל,הַגָּדֹל֙,,False,
1.16.10,לממשלת,לְמֶמְשֶׁלֶת,לְמֶמְשֶׁ֣לֶת,,False,
1.16.11,היום,הַיּוֹם,הַיּ֔וֹם,,False,
1.16.12,ואת,וְאֶת,וְאֶת,"(1, 2)",False,
1.16.13,המאור,הַמָּאוֹר,הַמָּא֤וֹר,"(2, 2)",False,
1.16.14,הקטן,הַקָּטֹן,הַקָּטֹן֙,,False,
1.16.15,לממשלת,לְמֶמְשֶׁלֶת,לְמֶמְשֶׁ֣לֶת,,False,
1.16.16,הלילה,הַלַּיְלָה,הַלַּ֔יְלָה,,False,
1.16.17,ואת,וְאֵת,וְאֵ֖ת,,False,
1.16.18,הכוכבים,הַכּוֹכָבִים׃,הַכּוֹכָבִֽים׃,,False,
1.17.1,ויתן,וַיִּתֵּן,וַיִּתֵּ֥ן,,False,
1.17.2,אתם,אֹתָם,אֹתָ֛ם,,False,
1.17.3,אלהים,אֱלֹהִים,אֱלֹהִ֖ים,,False,
1.17.4,ברקיע,בִּרְקִיעַ,בִּרְקִ֣יעַ,,False,
1.17.5,השמים,הַשָּׁמָיִם,הַשָּׁמָ֑יִם,,False,
1.17.6,להאיר,לְהָאִיר,לְהָאִ֖יר,,False,
1.17.7,על,עַל,עַל,"(1, 2)",False,
1.17.8,הארץ,הָאָרֶץ׃,הָאָֽרֶץ׃,"(2, 2)",False,
1.18.1,ולמשל,וְלִמְשֹׁל,וְלִמְשֹׁל֙,,False,
1.18.2,ביום,בַּיּוֹם,בַּיּ֣וֹם,,False,
1.18.3,ובלילה,וּבַלַּיְלָה,וּבַלַּ֔יְלָה,,False,
1.18.4,ולהבדיל,וּלֲהַבְדִּיל,וּֽלֲהַבְדִּ֔יל,,False,
1.18.5,בין,בֵּין,בֵּ֥ין,,False,
